(0.2526395269329324, 0.1184054195317623)
(0.09442551723526404, -0.06460320471918524)
(0.15812489324830936, 0.12668825903536837)
(0.1303555154631901, 0.14208769417421677)
(0.1636764755551977, 0.011326612046225738)
(-0.034850902367604776, -0.04332036959305393)
(0.12882227707789973, 0.0650399297713069)
(0.15840436863058904, -0.11477580872852712)
(0.024766613543639654, 0.25079968213936055)
(0.10125463574984782, -0.09512453949935534)
(0.01586902132449469, -0.012648318602047721)
(0.024000620042668865, -0.06041644902401864)
(0.0682750026713333, -0.001262709441078703)
(0.0190532124255471, 0.010631471087728411)
(-0.0016794304354101185, 0.059301344223888705)
(0.03934535220906956, 0.11981987309888928)
(0.08960497615273146, -0.14972080454617587)
(-0.036772660996571706, 0.0014963233399210938)
(-0.1184510296384946, -0.04218662890953066)
(-0.05651636818069793, 0.16132351938248268)
(0.08056116352645785, -0.07654987816379025)
(-0.0030431959615463415, -0.1136906341138686)
(-0.04676652949481745, -0.08680860189738238)
(0.07908610247076839, -0.12873099132663607)
(-0.10959861605738848, 0.006594132228958377)
(-0.1435401632959419, 0.005719745619914445)
(0.035994076644279956, -0.08997726064169465)
(0.0015981978810385704, -0.12300643554838751)
(-0.09614770591429517, 0.046009089562214986)
(0.004008840554853066, 0.006289968245053834)
(-0.08813819845967041, -0.0067247790729582325)
(-0.14681400016530377, 0.07375371155146943)
(-0.05991305065267449, -0.08320567891990238)
(0.028244082299612977, -0.08083569605663143)
(0.024321017784786396, 0.0675244337357506)
(-0.0948452111524247, 0.02143002190795357)
(-0.03275348266548873, -0.0702745413206702)
(0.08239482458761752, 0.13079510673594322)
(-0.11626845306188614, 0.03944668653966016)
(0.031521245250391086, -0.0993122560318507)
(-0.04372493852655475, 0.1279541246542145)
(-0.13135860071412875, 0.15453035895158895)
(-0.15364270008408232, 0.06007749805992639)
(-0.12951615533468908, -0.07924859670270644)
(-0.01735478841371635, -0.07997136783350461)
(-0.12475666685358479, -0.03872062945861701)
(0.029089597323838746, 0.04416864046989889)
(0.008538318914745211, -0.03830231575775267)
(-0.05686945980144631, -0.05211044477980394)
(-0.030653167272686715, -0.01968470540456546)
